experiment,condition,consumer_model,consumer_agent,payload_kind,source_agents,insight_ids,insight_count,payload_characters,payload_utf8_bytes,payload_words,payload_lines,gpt56_terra_tokens,gpt56_terra_token_status,qwen38_27b_tokens,qwen38_27b_token_status,logical_prompt_calls,provider_calls,prompt_block_transfers,total_payload_utf8_bytes,total_payload_tokens_for_executed_model,consumer_input_tokens,consumer_output_tokens,consumer_reasoning_tokens,accuracy_scope,accuracy_n,accuracy_correct,accuracy,source_refs
experiment_1,A,gpt-5.6-terra,agent_1,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,72453,7332,2692,locally-unseen aggregate agent-case,9,0,0.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_1,A,gpt-5.6-terra,agent_2,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,73173,6967,2347,locally-unseen aggregate agent-case,9,0,0.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_1,A,gpt-5.6-terra,agent_3,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,73083,8185,3576,locally-unseen aggregate agent-case,9,0,0.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_1,A,gpt-5.6-terra,agent_4,none,,,0,0,0,0,0,0,exact_in_context_delta,0,exact_in_context_delta,45,45,0,0,0,72858,5671,1118,locally-unseen aggregate agent-case,9,0,0.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/prompts/isolated_A.txt
experiment_1,B,gpt-5.6-terra,agent_1,peer_insight_block,agent_2;agent_3;agent_4,INS-003;INS-004;INS-005;INS-006;INS-007;INS-008,6,2289,2304,240,46,664,exact_in_context_delta,724,exact_in_context_delta,45,45,45,103680,29880,102333,6462,1530,locally-unseen aggregate agent-case,9,9,1.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_1_B.json
experiment_1,B,gpt-5.6-terra,agent_2,peer_insight_block,agent_1;agent_3;agent_4,INS-001;INS-002;INS-005;INS-006;INS-007;INS-008,6,2327,2336,244,46,684,exact_in_context_delta,749,exact_in_context_delta,45,45,45,105120,30780,103953,6308,1429,locally-unseen aggregate agent-case,9,9,1.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_2_B.json
experiment_1,B,gpt-5.6-terra,agent_3,peer_insight_block,agent_1;agent_2;agent_4,INS-001;INS-002;INS-003;INS-004;INS-007;INS-008,6,2410,2420,258,46,681,exact_in_context_delta,747,exact_in_context_delta,45,45,45,108900,30645,103728,7369,2816,locally-unseen aggregate agent-case,9,6,0.6666666666666666,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_3_B.json
experiment_1,B,gpt-5.6-terra,agent_4,peer_insight_block,agent_1;agent_2;agent_3,INS-001;INS-002;INS-003;INS-004;INS-005;INS-006,6,2361,2378,250,46,690,exact_in_context_delta,754,exact_in_context_delta,45,45,45,107010,31050,103908,7749,2909,locally-unseen aggregate agent-case,9,7,0.7777777777777778,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_4_B.json
experiment_1,E,gpt-5.6-terra,agent_1,peer_insight_block,agent_2;agent_3;agent_4,INS-003;INS-004;INS-005;INS-006;INS-007;INS-008,6,2289,2304,240,46,664,exact_in_context_delta,724,exact_in_context_delta,45,45,45,103680,29880,102333,6702,1744,locally-unseen aggregate agent-case,9,0,0.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_1_E.json
experiment_1,E,gpt-5.6-terra,agent_2,peer_insight_block,agent_1;agent_3;agent_4,INS-001;INS-002;INS-005;INS-006;INS-007;INS-008,6,2327,2336,244,46,684,exact_in_context_delta,749,exact_in_context_delta,45,45,45,105120,30780,103953,6635,1703,locally-unseen aggregate agent-case,9,0,0.0,phase_b/final_evaluation/inference/repetition_records.jsonl;phase_b/final_evaluation/evaluation_results.json;phase_b/conditions/builders.py;phase_b/insights/peer_libraries/agent_2_E.json
