agent_id,physical_case_id,expected_label,frozen_B_label,variant_label,repetitions,correct,abstain,three_of_three_agreement,parse_failures,used_insight_ids,original_error
agent_1,EXP3V2-F1-001,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA/CLS-ZOGAA/CLS-ZOGAA,True,False,True,0,,False
agent_1,EXP3V2-F1-002,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA/CLS-ZOGAA/CLS-ZOGAA,True,False,True,0,,False
agent_1,EXP3V2-F1-003,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA/CLS-ZOGAA/CLS-ZOGAA,True,False,True,0,,False
agent_1,EXP3V2-F1-004,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA/CLS-ZOGAA/CLS-ZOGAA,True,False,True,0,,False
agent_1,EXP3V2-F1-005,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA/CLS-ZOGAA/CLS-ZOGAA,True,False,True,0,,False
agent_1,EXP3V2-F1-006,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA,CLS-ZOGAA/CLS-ZOGAA/CLS-ZOGAA,True,False,True,0,,False
agent_2,EXP3V2-F8-001,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG/CLS-OJNSG/CLS-OJNSG,True,False,True,0,,False
agent_2,EXP3V2-F8-002,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG/CLS-OJNSG/CLS-OJNSG,True,False,True,0,,False
agent_2,EXP3V2-F8-003,CLS-OJNSG,CLS-Z3ISU,CLS-OJNSG,CLS-OJNSG/CLS-OJNSG/CLS-OJNSG,True,False,True,0,,True
agent_2,EXP3V2-F8-004,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG/CLS-OJNSG/CLS-OJNSG,True,False,True,0,,False
agent_2,EXP3V2-F8-005,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG/CLS-OJNSG/CLS-OJNSG,True,False,True,0,,False
agent_2,EXP3V2-F8-006,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG/CLS-OJNSG/CLS-OJNSG,True,False,True,0,,False
agent_3,EXP3V2-F10-001,CLS-R463B,CLS-R463B,CLS-R463B,CLS-R463B/CLS-R463B/CLS-R463B,True,False,True,0,,False
agent_3,EXP3V2-F10-002,CLS-R463B,CLS-R463B,CLS-R463B,CLS-R463B/CLS-R463B/CLS-R463B,True,False,True,0,,False
agent_3,EXP3V2-F10-003,CLS-R463B,CLS-R463B,CLS-R463B,CLS-R463B/CLS-R463B/CLS-R463B,True,False,True,0,,False
agent_3,EXP3V2-F10-004,CLS-R463B,CLS-R463B,CLS-R463B,CLS-R463B/CLS-R463B/CLS-R463B,True,False,True,0,,False
agent_3,EXP3V2-F10-005,CLS-R463B,CLS-R463B,CLS-R463B,CLS-R463B/CLS-R463B/CLS-R463B,True,False,True,0,,False
agent_3,EXP3V2-F10-006,CLS-R463B,CLS-R463B,CLS-R463B,CLS-R463B/CLS-R463B/CLS-R463B,True,False,True,0,,False
agent_4,EXP3V2-F13-001,CLS-Z3ISU,CLS-Z3ISU,CLS-Z3ISU,CLS-Z3ISU/CLS-Z3ISU/CLS-Z3ISU,True,False,True,0,,False
agent_4,EXP3V2-F13-002,CLS-Z3ISU,CLS-OJNSG,CLS-OJNSG,CLS-OJNSG/CLS-Z3ISU/CLS-OJNSG,False,False,False,0,"INS-003,INS-004",True
agent_4,EXP3V2-F13-003,CLS-Z3ISU,CLS-OJNSG,CLS-Z3ISU,CLS-Z3ISU/CLS-Z3ISU/CLS-Z3ISU,True,False,True,0,,True
agent_4,EXP3V2-F13-004,CLS-Z3ISU,CLS-OJNSG,CLS-Z3ISU,CLS-Z3ISU/CLS-Z3ISU/CLS-Z3ISU,True,False,True,0,,True
agent_4,EXP3V2-F13-005,CLS-Z3ISU,CLS-OJNSG,CLS-Z3ISU,CLS-Z3ISU/CLS-Z3ISU/CLS-Z3ISU,True,False,True,0,,True
agent_4,EXP3V2-F13-006,CLS-Z3ISU,CLS-Z3ISU,CLS-Z3ISU,CLS-Z3ISU/CLS-Z3ISU/CLS-Z3ISU,True,False,True,0,,False
